"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Логин под существующим пользователем","tests","Sun Mar 15 18:57:49 GMT+05:00 2026","passed","Sun Mar 15 18:57:49 GMT+05:00 2026","TestLoginUser","test_login_user","",""
"","285","Создание нового уникального пользователя","tests","Sun Mar 15 18:57:40 GMT+05:00 2026","passed","Sun Mar 15 18:57:41 GMT+05:00 2026","TestCreateUser","test_create_user","",""
"","194","Создание заказа без ингредиентов","tests","Sun Mar 15 18:57:37 GMT+05:00 2026","passed","Sun Mar 15 18:57:38 GMT+05:00 2026","TestCreateOrder","test_create_order","",""
"","430","Создание заказа без авторизации","tests","Sun Mar 15 18:57:36 GMT+05:00 2026","passed","Sun Mar 15 18:57:37 GMT+05:00 2026","TestCreateOrder","test_create_order","",""
"","208","Изменение любого поля пользователя с авторизацией","tests","Sun Mar 15 18:57:51 GMT+05:00 2026","passed","Sun Mar 15 18:57:51 GMT+05:00 2026","TestUpdateUser","test_update_user","",""
"","4201","Создание заказа с авторизацией","tests","Sun Mar 15 18:57:31 GMT+05:00 2026","passed","Sun Mar 15 18:57:36 GMT+05:00 2026","TestCreateOrder","test_create_order","",""
"","281","Изменение любого поля пользователя с авторизацией","tests","Sun Mar 15 18:57:54 GMT+05:00 2026","passed","Sun Mar 15 18:57:54 GMT+05:00 2026","TestUpdateUser","test_update_user","",""
"","210","Изменение любого поля пользователя без авторизации","tests","Sun Mar 15 18:57:55 GMT+05:00 2026","passed","Sun Mar 15 18:57:56 GMT+05:00 2026","TestUpdateUser","test_update_user","",""
"","211","Изменение любого поля пользователя без авторизации","tests","Sun Mar 15 18:57:55 GMT+05:00 2026","passed","Sun Mar 15 18:57:55 GMT+05:00 2026","TestUpdateUser","test_update_user","",""
"","213","Изменение любого поля пользователя с авторизацией","tests","Sun Mar 15 18:57:52 GMT+05:00 2026","passed","Sun Mar 15 18:57:53 GMT+05:00 2026","TestUpdateUser","test_update_user","",""
"","205","Получение заказов пользователя без авторизации","tests","Sun Mar 15 18:57:48 GMT+05:00 2026","passed","Sun Mar 15 18:57:48 GMT+05:00 2026","TestGetUserOrders","test_get_users_order","",""
"","205","Создание заказа с неверным хешем ингредиентов","tests","Sun Mar 15 18:57:39 GMT+05:00 2026","passed","Sun Mar 15 18:57:39 GMT+05:00 2026","TestCreateOrder","test_create_order","",""
"","208","Создать пользователя и не заполнить одно из обязательных полей","tests","Sun Mar 15 18:57:42 GMT+05:00 2026","passed","Sun Mar 15 18:57:42 GMT+05:00 2026","TestCreateUser","test_create_user","",""
"","4255","Получение заказов пользователя с авторизацией","tests","Sun Mar 15 18:57:43 GMT+05:00 2026","passed","Sun Mar 15 18:57:47 GMT+05:00 2026","TestGetUserOrders","test_get_users_order","",""
"","202","Изменение любого поля пользователя без авторизации","tests","Sun Mar 15 18:57:56 GMT+05:00 2026","passed","Sun Mar 15 18:57:56 GMT+05:00 2026","TestUpdateUser","test_update_user","",""
"","210","Логин с неверным логином и паролем","tests","Sun Mar 15 18:57:50 GMT+05:00 2026","passed","Sun Mar 15 18:57:50 GMT+05:00 2026","TestLoginUser","test_login_user","",""
"","203","Создание пользователя, который уже зарегистрирован","tests","Sun Mar 15 18:57:41 GMT+05:00 2026","passed","Sun Mar 15 18:57:41 GMT+05:00 2026","TestCreateUser","test_create_user","",""
